Рзаб;Pлин;Руст.1;Рзаб.1;Рлин;Туст;Тна шлейфе;Тзаб;Tлин;Дебит ст. конд.;Дебит воды;Дебит смеси;Дебит гааз;Дебит кон нестабильный;Дебит воды.1;Pсб.1;G_total;КГФ
370.1;101.8;249.0;359.6;101.8;53.0;31.7;103.2;32.5;83.6;0.4;231.24884;1610.368866;131.3;0.4;92.3760177646188;2.782622710802093;311.9094
364.6;101.3;231.0;338.1;102.4;58.8;37.6;103.0;38.6;104.7;1.4;309.00166;2310.226429;158.5;1.4;91.68517147791759;3.6977813307944776;288.6003
357.1;101.6;211.0;314.8;100.6;63.6;42.8;102.6;43.4;114.3;1.9;388.11498000000006;3039.48968;172.3;1.9;90.20478657784358;4.515072751311305;248.7906
347.4;98.4;187.0;291.5;99.0;64.7;46.2;102.0;46.1;121.3;3.3;455.21451999999994;3824.082686;181.5;3.3;88.03355539106835;5.217672708395432;223.5591
337.69999999999993;99.2;169.0;270.3;99.5;64.0;49.4;104.4;49.9;129.8;4.6;504.58777999999995;4299.104676;190.6;4.7;88.52701702442636;5.765092040467829;215.1486
286.4;106.36166898470155;199.5;286.6;106.19;57.5;38.8;102.64;38.979712100139054;76.8;0.6;268.89611999999994;1921.0;119.0;0.6;89.51394029114236;3.0765420138888886;241.130793707915
354.333525;102.93200404858312;252.0;354.2;101.56548387096784;56.0;0.0;105.3;32.99727530364374;56.068587044534425;0.0;261.28126025947637;1807.4;90.4;0.0;99.5805576116457;0.0;188.0
350.20000000000005;103.18690228690187;250.0;349.1;103.32258064516141;61.0;0.0;105.2;39.06092099792096;73.88715800415793;0.0;362.08473698070804;2532.4;118.0;0.0;98.79101899827288;0.0;178.0
344.0;105.67149877149868;240.0;344.1;105.58870967741944;65.0;0.0;105.2;44.89659213759216;92.12672481572478;1.014582702702704;476.2047969192303;3392.3;146.0;1.0;100.66617320503332;0.0;169.0
336.70000000000005;108.10006302521013;228.0;343.0;108.1448387096775;42.0;0.0;105.1;49.839871848739456;109.8121764705883;1.3784178571428567;589.1426530810221;4228.8;175.5;1.4;102.44263508512213;0.0;162.0
365.86;103.4714148857772;259.0;365.9;101.42032258064515;52.0;27.2;105.9;28.092309506263728;70.73221444362562;1.1444375092114956;257.6357482757553;1713.8;117.3;1.2;91.9812484579324;0.0;230.0
342.27;103.20046587926512;239.0;342.3;104.17999999999986;58.0;34.6;105.7;35.09973359580054;79.58073622047256;1.657555314960633;327.8430008516404;2353.5;129.7;1.7;90.79694053787318;0.0;201.0
312.27;103.18711137581893;212.0;312.3;102.99999999999994;61.0;41.2;105.2;41.11381596188213;85.5020559857057;2.591600059559267;410.0173482237641;3085.5;139.7;2.7;92.4747100912904;0.0;172.0
291.74;103.22992846193262;194.0;291.7;103.91741935483866;62.0;43.7;104.5;44.143173224322894;86.21457690342353;3.1601476750127757;449.6452114679612;3534.4;137.7;3.2;88.42832469775475;0.0;157.0
263.03;107.3775597092424;166.0;263.0;107.53666666666662;63.0;49.2;103.4;49.75384527518173;88.07178712357216;3.5106176531671887;509.04695277455863;4071.6;142.2;3.6;89.11917098445596;0.0;141.0
292.0;105.507978385251;206.0;292.0;105.03;56.0;37.4;104.6;37.79177942212822;59.9;0.8;285.53654000000006;2085.0;94.0;0.7;90.89563286454478;0.0;172.0
440.5;108.88643532338311;314.0;442.7;99.16735483870968;37.0;14.0;105.42;16.204686069651743;150.07470398009968;1.2034843532338302;337.72025463982595;1784.0;492.8;2.5;98.10017271157169;4.232369768123735;385.415949386802
388.7;89.65283935242846;268.0;388.6;86.74719354838712;48.0;21.0;105.32;22.031063511830656;138.9773723536737;0.8592120921544208;398.3963089393649;3127.0;238.3;1.0;98.39624969158649;4.714502980027443;295.5028799822254
308.8;97.87704524886881;197.0;308.7;92.45790322580648;54.0;35.0;105.22;35.40620060331823;151.7921266968327;0.6965744796380082;496.80674771475117;3895.7;245.0;0.8;97.90278805822848;5.727870401960785;255.68112741124983
270.5;79.95274967741933;162.0;270.4;81.14677419354842;52.0;34.0;105.12;33.82577935483872;143.14583225806487;0.4267214193548387;509.7342959136775;5129.0;221.2;0.4;97.60671107821368;5.775314163481485;233.96044419658497
239.3;80.73293237250546;136.0;239.3;79.54112903225814;51.0;38.0;105.02;37.26220177383591;137.67566518847002;0.4085362305986699;513.3312706648337;5235.6;209.7;0.4;99.48186528497409;5.764899980578139;223.10946098417853
251.3;73.30663802559425;151.0;285.3;72.57925806451617;50.0;0.0;100.21;31.994166361974468;114.87843510054843;0.34101025594149914;476.67617611957945;5209.5;172.5;0.3;95.73155687145325;5.250915099829033;199.62761225517968
296.8;76.5720676470589;192.0;296.8;76.81951612903225;50.0;0.0;102.38;24.80197549019607;109.27444803921578;0.32912409803921555;371.5380766480197;3705.5;164.0;0.3;96.71848013816926;4.2485530090568275;245.6833574872083
458.6;91.04554516129046;333.0;458.5;89.4336774193549;60.0;90.3;105.6;31.17772258064514;106.6626898617513;0.4876661705069131;306.24343390833644;2519.8;163.0;0.5;88.42832469775475;3.7244315786101585;294.587295099189
452.8;97.78799548736481;325.0;452.7;98.17906451612895;66.0;95.5;105.49;40.51194043321302;143.00573104693154;2.1840857400721982;429.87664824638995;3517.8;218.9;2.2;84.3819393042191;5.170165606354928;282.24440973094613
